n16,n8,n4,median_relative_error,max_relative_error,mul_luts,isolated_fmax_mhz,total_luts,system_fmax_mhz
0,0,0,0.033541640220419916,0.999390801096558,686,20.348363876342773,4161,18.61712074279785
16,0,0,0.0336994627324641,4.27792542482081,670,16.952600479125977,4082,16.515548706054688
16,8,0,0.04697229350621729,1365.98268502859,510,18.815736770629883,3993,17.41128921508789
16,8,4,0.21451085107192436,25876.668357896433,394,20.55076026916504,3910,18.304960250854492
